ID,Name,Description,ColumnSpec,CLTS_ID
1,a,,,unrounded_open_front_vowel
2,i,,,unrounded_close_front_vowel
3,n,,,voiced_alveolar_nasal_consonant
4,u,,,rounded_close_back_vowel
5,m,,,voiced_bilabial_nasal_consonant
6,k,,,voiceless_velar_stop_consonant
7,t,,,voiceless_alveolar_stop_consonant
8,e,,,unrounded_close-mid_front_vowel
9,l,,,voiced_alveolar_lateral_approximant_consonant
10,o,,,rounded_close-mid_back_vowel
11,r,,,voiced_alveolar_trill_consonant
12,ɛ,,,unrounded_open-mid_front_vowel
13,s,,,voiceless_alveolar_sibilant_fricative_consonant
14,h,,,voiceless_glottal_fricative_consonant
15,ʔ,,,voiceless_glottal_stop_consonant
16,b,,,voiced_bilabial_stop_consonant
17,d,,,voiced_alveolar_stop_consonant
18,j,,,voiced_palatal_approximant_consonant
19,p,,,voiceless_bilabial_stop_consonant
20,w,,,voiced_labio-velar_approximant_consonant
21,ə,,,unrounded_mid_central_vowel
22,ŋ,,,voiced_velar_nasal_consonant
23,g,,,voiced_velar_stop_consonant
24,ɔ,,,rounded_open-mid_back_vowel
25,aː,,,long_unrounded_open_front_vowel
26,æ,,,unrounded_near-open_front_vowel
27,tʃ,,,voiceless_post-alveolar_sibilant_affricate_consonant
28,ʃ,,,voiceless_post-alveolar_sibilant_fricative_consonant
29,ɾ,,,voiced_alveolar_tap_consonant
30,ɯ,,,unrounded_close_back_vowel
31,ɨ,,,unrounded_close_central_vowel
32,v,,,voiced_labio-dental_fricative_consonant
33,eː,,,long_unrounded_close-mid_front_vowel
34,iː,,,long_unrounded_close_front_vowel
35,ɲ,,,voiced_palatal_nasal_consonant
36,ɪ,,,unrounded_near-close_near-front_vowel
37,ã,,,nasalized_unrounded_open_front_vowel
38,β,,,voiced_bilabial_fricative_consonant
39,z,,,voiced_alveolar_sibilant_fricative_consonant
40,ɛː,,,long_unrounded_open-mid_front_vowel
41,ɣ,,,voiced_velar_fricative_consonant
42,c,,,voiceless_palatal_stop_consonant
43,f,,,voiceless_labio-dental_fricative_consonant
44,ts,,,voiceless_alveolar_sibilant_affricate_consonant
45,kʰ,,,aspirated_voiceless_velar_stop_consonant
46,χ,,,voiceless_uvular_fricative_consonant
47,ɔː,,,long_rounded_open-mid_back_vowel
48,tʰ,,,aspirated_voiceless_alveolar_stop_consonant
49,oː,,,long_rounded_close-mid_back_vowel
50,ʁ,,,voiced_uvular_fricative_consonant
51,x,,,voiceless_velar_fricative_consonant
52,ʊ,,,rounded_near-close_near-back_vowel
53,dz,,,voiced_alveolar_sibilant_affricate_consonant
54,uː,,,long_rounded_close_back_vowel
55,ɟ,,,voiced_palatal_stop_consonant
56,tsʲ,,,palatalized_voiceless_alveolar_sibilant_affricate_consonant
57,ʉ,,,rounded_close_central_vowel
58,dʲ,,,palatalized_voiced_alveolar_stop_consonant
59,ɪː,,,long_unrounded_near-close_near-front_vowel
60,ɓ,,,voiced_bilabial_implosive_consonant
61,ũ,,,nasalized_rounded_close_back_vowel
62,ɸ,,,voiceless_bilabial_fricative_consonant
63,ĩ,,,nasalized_unrounded_close_front_vowel
64,ɑː,,,long_unrounded_open_back_vowel
65,tː,,,long_voiceless_alveolar_stop_consonant
66,pʰ,,,aspirated_voiceless_bilabial_stop_consonant
67,e̝,,,raised_unrounded_close-mid_front_vowel
68,ʒ,,,voiced_post-alveolar_sibilant_fricative_consonant
69,q,,,voiceless_uvular_stop_consonant
70,ɹ̝,,,raised_voiced_alveolar_approximant_consonant
71,kʷ,,,labialized_voiceless_velar_stop_consonant
72,y,,,rounded_close_front_vowel
73,ð,,,voiced_dental_fricative_consonant
74,ʂ,,,voiceless_retroflex_sibilant_fricative_consonant
75,kʼ,,,voiceless_velar_ejective_stop_consonant
76,ɛ̃,,,nasalized_unrounded_open-mid_front_vowel
77,θ,,,voiceless_dental_fricative_consonant
78,ʈ,,,voiceless_retroflex_stop_consonant
79,ɰ,,,voiced_velar_approximant_consonant
80,v̩,,,syllabic_voiced_labio-dental_fricative_consonant
81,tsʰ,,,aspirated_voiceless_alveolar_sibilant_affricate_consonant
82,ɬ,,,voiceless_alveolar_lateral_fricative_consonant
83,ɳ,,,voiced_retroflex_nasal_consonant
84,ɭ,,,voiced_retroflex_lateral_approximant_consonant
85,ɦ,,,voiced_glottal_fricative_consonant
86,qʼ,,,voiceless_uvular_ejective_stop_consonant
87,ei,,,from_unrounded_close-mid_front_to_unrounded_close_front_diphthong
88,o̝,,,raised_rounded_close-mid_back_vowel
89,lˠ,,,velarized_voiced_alveolar_lateral_approximant_consonant
90,ə̃,,,nasalized_unrounded_mid_central_vowel
91,ɗ,,,voiced_dental_implosive_consonant
92,əː,,,long_unrounded_mid_central_vowel
93,ɤ,,,unrounded_close-mid_back_vowel
94,kː,,,long_voiceless_velar_stop_consonant
95,t̪,,,voiceless_dental_stop_consonant
96,mʷ,,,labialized_voiced_bilabial_nasal_consonant
97,ʑ,,,voiced_alveolo-palatal_sibilant_fricative_consonant
98,õ,,,nasalized_rounded_close-mid_back_vowel
99,lː,,,long_voiced_alveolar_lateral_approximant_consonant
100,kp,,,voiceless_velar-and-bilabial_stop_consonant
101,ɒ,,,rounded_open_back_vowel
102,ɖ,,,voiced_retroflex_stop_consonant
103,β̞,,,voiced_bilabial_approximant_consonant
104,ɻ,,,voiced_retroflex_approximant_consonant
105,sʰ,,,aspirated_voiceless_alveolar_sibilant_fricative_consonant
106,ə˞,,,rhotacized_unrounded_mid_central_vowel
107,ø,,,rounded_close-mid_front_vowel
108,ɐ,,,unrounded_near-open_central_vowel
109,dʑ,,,voiced_alveolo-palatal_sibilant_affricate_consonant
110,ɕ,,,voiceless_alveolo-palatal_sibilant_fricative_consonant
111,aɪ,,,from_unrounded_open_front_to_unrounded_near-close_near-front_diphthong
112,lʲ,,,palatalized_voiced_alveolar_lateral_approximant_consonant
113,tsʼ,,,voiceless_alveolar_ejective_sibilant_affricate_consonant
114,n̥,,,devoiced_voiced_alveolar_nasal_consonant
115,aˤ,,,pharyngealized_unrounded_open_front_vowel
116,ŋm,,,voiced_velar-and-bilabial_nasal_consonant
117,d̪,,,voiced_dental_stop_consonant
118,ɑ,,,unrounded_open_back_vowel
119,ãː,,,long_nasalized_unrounded_open_front_vowel
120,ɽ,,,voiced_retroflex_tap_consonant
121,uo,,,from_rounded_close_back_to_rounded_close-mid_back_diphthong
122,eɪ,,,from_unrounded_close-mid_front_to_unrounded_near-close_near-front_diphthong
123,ũː,,,long_nasalized_rounded_close_back_vowel
124,gʷ,,,labialized_voiced_velar_stop_consonant
125,nʲ,,,palatalized_voiced_alveolar_nasal_consonant
126,kʲʰ,,,palatalized_aspirated_voiceless_velar_stop_consonant
127,ie,,,from_unrounded_close_front_to_unrounded_close-mid_front_diphthong
128,ʕ,,,voiced_pharyngeal_fricative_consonant
129,ʉː,,,long_rounded_close_central_vowel
130,nː,,,long_voiced_alveolar_nasal_consonant
131,œ,,,rounded_open-mid_front_vowel
132,pʼ,,,voiceless_bilabial_ejective_stop_consonant
133,ç,,,voiceless_palatal_sibilant_fricative_consonant
134,ɯː,,,long_unrounded_close_back_vowel
135,ɪ̃,,,nasalized_unrounded_near-close_near-front_vowel
136,ɨː,,,long_unrounded_close_central_vowel
137,ai,,,from_unrounded_open_front_to_unrounded_close_front_diphthong
138,ħ,,,voiceless_pharyngeal_fricative_consonant
139,əʊ,,,from_unrounded_mid_central_to_rounded_near-close_near-back_diphthong
140,tʼ,,,voiceless_alveolar_ejective_stop_consonant
141,ʌ,,,unrounded_open-mid_back_vowel
142,sʲ,,,palatalized_voiceless_alveolar_sibilant_fricative_consonant
143,ʝ,,,voiced_palatal_fricative_consonant
144,qʰ,,,aspirated_voiceless_uvular_stop_consonant
145,ɹ,,,voiced_alveolar_approximant_consonant
146,ⁿpʲ,,,pre-nasalized_palatalized_voiceless_bilabial_stop_consonant
147,pʲ,,,palatalized_voiceless_bilabial_stop_consonant
148,sː,,,long_voiceless_alveolar_sibilant_fricative_consonant
149,ĩː,,,long_nasalized_unrounded_close_front_vowel
150,ɕʰ,,,aspirated_voiceless_alveolo-palatal_sibilant_fricative_consonant
151,ẽ,,,nasalized_unrounded_close-mid_front_vowel
152,tsʲʰ,,,palatalized_aspirated_voiceless_alveolar_sibilant_affricate_consonant
153,tɬʼ,,,voiceless_alveolar_ejective_lateral_affricate_consonant
154,ʊː,,,long_rounded_near-close_near-back_vowel
155,kʲ,,,palatalized_voiceless_velar_stop_consonant
156,œ̃,,,nasalized_rounded_open-mid_front_vowel
157,ǁʼ,,,voiceless_alveolar_ejective_lateral_click_consonant
158,mʲ,,,palatalized_voiced_bilabial_nasal_consonant
159,tʃː,,,long_voiceless_post-alveolar_sibilant_affricate_consonant
160,tʲʰ,,,palatalized_aspirated_voiceless_alveolar_stop_consonant
161,bʷ,,,labialized_voiced_bilabial_stop_consonant
162,ɛɪ,,,from_unrounded_open-mid_front_to_unrounded_near-close_near-front_diphthong
163,æː,,,long_unrounded_near-open_front_vowel
164,ǀ,,,voiceless_dental_click_consonant
165,oʉ,,,from_rounded_close-mid_back_to_rounded_close_central_diphthong
166,aʊ,,,from_unrounded_open_front_to_rounded_near-close_near-back_diphthong
167,ʐ,,,voiced_retroflex_sibilant_fricative_consonant
168,l̥,,,devoiced_voiced_alveolar_lateral_approximant_consonant
169,wʲ,,,palatalized_voiced_labio-velar_approximant_consonant
170,z̩,,,syllabic_voiced_alveolar_sibilant_fricative_consonant
171,n̩,,,syllabic_voiced_alveolar_nasal_consonant
172,dzʲ,,,palatalized_voiced_alveolar_sibilant_affricate_consonant
173,ʈʰ,,,aspirated_voiceless_retroflex_stop_consonant
174,tʃʼ,,,voiceless_post-alveolar_ejective_sibilant_affricate_consonant
175,ǁ,,,voiceless_alveolar_lateral_click_consonant
176,tʃʰ,,,aspirated_voiceless_post-alveolar_sibilant_affricate_consonant
177,tsː,,,long_voiceless_alveolar_sibilant_affricate_consonant
178,ǃ,,,voiceless_alveolar_click_consonant
179,mː,,,long_voiced_bilabial_nasal_consonant
180,ia,,,from_unrounded_close_front_to_unrounded_open_front_diphthong
181,uˤ,,,pharyngealized_rounded_close_back_vowel
182,tʲ,,,palatalized_voiceless_alveolar_stop_consonant
183,pː,,,long_voiceless_bilabial_stop_consonant
184,ɲ̟,,,advanced_voiced_palatal_nasal_consonant
185,ɔ̃,,,nasalized_rounded_open-mid_back_vowel
186,pʷ,,,labialized_voiceless_bilabial_stop_consonant
187,ǂ,,,voiceless_palatal_click_consonant
188,ʎ,,,voiced_palatal_lateral_approximant_consonant
189,ʋ,,,voiced_labio-dental_approximant_consonant
190,ʃʰ,,,aspirated_voiceless_post-alveolar_sibilant_fricative_consonant
191,əe,,,from_unrounded_mid_central_to_unrounded_close-mid_front_diphthong
192,rʲ,,,palatalized_voiced_alveolar_trill_consonant
193,m̥,,,devoiced_voiced_bilabial_nasal_consonant
194,r̥,,,devoiced_voiced_alveolar_trill_consonant
195,ua,,,from_rounded_close_back_to_unrounded_open_front_diphthong
196,ʃː,,,long_voiceless_post-alveolar_sibilant_fricative_consonant
197,qː,,,long_voiceless_uvular_stop_consonant
198,ŋʷ,,,labialized_voiced_velar_nasal_consonant
199,ǀ̬,,,revoiced_voiceless_dental_click_consonant
200,eə,,,from_unrounded_close-mid_front_to_unrounded_mid_central_diphthong
201,ɨa,,,from_unrounded_close_central_to_unrounded_open_front_diphthong
202,kxʼ,,,voiceless_velar_ejective_affricate_consonant
203,ǁʰ,,,aspirated_voiceless_alveolar_lateral_click_consonant
204,j̃,,,nasalized_voiced_palatal_approximant_consonant
205,gʲ,,,palatalized_voiced_velar_stop_consonant
206,ǀʼ,,,voiceless_dental_ejective_click_consonant
207,w̃,,,nasalized_voiced_labio-velar_approximant_consonant
208,ʡ,,,voiceless_epiglottal_stop_consonant
209,ǁχ,,,from_voiceless_alveolar_lateral_click_to_voiceless_uvular_fricative_cluster
210,ǁ̬,,,revoiced_voiceless_alveolar_lateral_click_consonant
211,χʷ,,,labialized_voiceless_uvular_fricative_consonant
212,ʃʷ,,,labialized_voiceless_post-alveolar_sibilant_fricative_consonant
213,ɥ,,,voiced_labio-palatal_approximant_consonant
214,qʷ,,,labialized_voiceless_uvular_stop_consonant
215,ǃʼ,,,voiceless_alveolar_ejective_click_consonant
216,βʲ,,,palatalized_voiced_bilabial_fricative_consonant
217,ʔʲ,,,palatalized_voiceless_glottal_stop_consonant
218,kʼʷ,,,labialized_voiceless_velar_ejective_stop_consonant
219,tsʲː,,,palatalized_long_voiceless_alveolar_sibilant_affricate_consonant
220,ɜː,,,long_unrounded_open-mid_central_vowel
221,ui,,,from_rounded_close_back_to_unrounded_close_front_diphthong
222,ǀq,,,from_voiceless_dental_click_to_voiceless_uvular_stop_cluster
223,m̩,,,syllabic_voiced_bilabial_nasal_consonant
224,fʰ,,,aspirated_voiceless_labio-dental_fricative_consonant
225,bː,,,long_voiced_bilabial_stop_consonant
226,χː,,,long_voiceless_uvular_fricative_consonant
227,yː,,,long_rounded_close_front_vowel
228,bʲ,,,palatalized_voiced_bilabial_stop_consonant
229,tʃʲ,,,palatalized_voiceless_post-alveolar_sibilant_affricate_consonant
230,yø,,,from_rounded_close_front_to_rounded_close-mid_front_diphthong
231,ǂχ,,,from_voiceless_palatal_click_to_voiceless_uvular_fricative_cluster
232,ɪə,,,from_unrounded_near-close_near-front_to_unrounded_mid_central_diphthong
233,qʼʷ,,,labialized_voiceless_uvular_ejective_stop_consonant
234,l̩,,,syllabic_voiced_alveolar_lateral_approximant_consonant
235,æ̃,,,nasalized_unrounded_near-open_front_vowel
236,ɑi,,,from_unrounded_open_back_to_unrounded_close_front_diphthong
237,ʘ,,,voiceless_labial_click_consonant
238,ǃχ,,,from_voiceless_alveolar_click_to_voiceless_uvular_fricative_cluster
239,gb,,,voiced_velar-and-bilabial_stop_consonant
240,r̩,,,syllabic_voiced_alveolar_trill_consonant
241,ŋ̊,,,devoiced_voiced_velar_nasal_consonant
242,oˤ,,,pharyngealized_rounded_close-mid_back_vowel
243,ɔɪ,,,from_rounded_open-mid_back_to_unrounded_near-close_near-front_diphthong
244,ǀʰ,,,aspirated_voiceless_dental_click_consonant
245,tʃʷ,,,labialized_voiceless_post-alveolar_sibilant_affricate_consonant
246,fʲ,,,palatalized_voiceless_labio-dental_fricative_consonant
247,pʲʰ,,,palatalized_aspirated_voiceless_bilabial_stop_consonant
248,ǃqχʼ,,,from_voiceless_alveolar_click_to_voiceless_uvular_ejective_affricate_cluster
249,oi,,,from_rounded_close-mid_back_to_unrounded_close_front_diphthong
250,dː,,,long_voiced_alveolar_stop_consonant
251,kʷː,,,labialized_long_voiceless_velar_stop_consonant
252,ɖʐ,,,voiced_retroflex_sibilant_affricate_consonant
253,ŋː,,,long_voiced_velar_nasal_consonant
254,mp,,,from_voiced_bilabial_nasal_to_voiceless_bilabial_stop_cluster
255,øː,,,long_rounded_close-mid_front_vowel
256,õː,,,long_nasalized_rounded_close-mid_back_vowel
257,ǂʼ,,,voiceless_palatal_ejective_click_consonant
258,nʷ,,,labialized_voiced_alveolar_nasal_consonant
259,ẽː,,,long_nasalized_unrounded_close-mid_front_vowel
260,ǂʰ,,,aspirated_voiceless_palatal_click_consonant
261,ǁq,,,from_voiceless_alveolar_lateral_click_to_voiceless_uvular_stop_cluster
262,ɑ̃,,,nasalized_unrounded_open_back_vowel
263,ǂq,,,from_voiceless_palatal_click_to_voiceless_uvular_stop_cluster
264,fʷ,,,labialized_voiceless_labio-dental_fricative_consonant
265,ʃʼ,,,voiceless_post-alveolar_ejective_sibilant_fricative_consonant
266,lʱ,,,breathy_voiced_alveolar_lateral_approximant_consonant
267,zʲ,,,palatalized_voiced_alveolar_sibilant_fricative_consonant
268,kʷʰ,,,labialized_aspirated_voiceless_velar_stop_consonant
269,ǃ̬,,,revoiced_voiceless_alveolar_click_consonant
270,ǃqʰ,,,from_voiceless_alveolar_click_to_aspirated_voiceless_uvular_stop_cluster
271,ǁqχʼ,,,from_voiceless_alveolar_lateral_click_to_voiceless_uvular_ejective_affricate_cluster
272,tʃʼʷ,,,labialized_voiceless_post-alveolar_ejective_sibilant_affricate_consonant
273,tʃʷː,,,labialized_long_voiceless_post-alveolar_sibilant_affricate_consonant
274,ǃq,,,from_voiceless_alveolar_click_to_voiceless_uvular_stop_cluster
275,lʷ,,,labialized_voiced_alveolar_lateral_approximant_consonant
276,ɛ̃ː,,,long_nasalized_unrounded_open-mid_front_vowel
277,tʷ,,,labialized_voiceless_alveolar_stop_consonant
278,ǂ̬,,,revoiced_voiceless_palatal_click_consonant
279,rʷ,,,labialized_voiced_alveolar_trill_consonant
280,ɗʲ,,,palatalized_voiced_dental_implosive_consonant
281,sʼ,,,voiceless_alveolar_ejective_sibilant_fricative_consonant
282,ɲ̊,,,devoiced_voiced_palatal_nasal_consonant
283,nʱ,,,breathy_voiced_alveolar_nasal_consonant
284,ɹ̝ː,,,raised_long_voiced_alveolar_approximant_consonant
285,ŋ̍,,,syllabic_voiced_velar_nasal_consonant
286,sʷ,,,labialized_voiceless_alveolar_sibilant_fricative_consonant
287,cʰ,,,aspirated_voiceless_palatal_stop_consonant
288,ʉ̃ː,,,long_nasalized_rounded_close_central_vowel
289,eiː,,,from_unrounded_close-mid_front_to_long_unrounded_close_front_diphthong
290,jː,,,long_voiced_palatal_approximant_consonant
291,ǀχ,,,from_voiceless_dental_click_to_voiceless_uvular_fricative_cluster
292,h̃,,,nasalized_voiceless_glottal_fricative_consonant
293,ʃʲ,,,palatalized_voiceless_post-alveolar_sibilant_fricative_consonant
294,ə̃ː,,,long_nasalized_unrounded_mid_central_vowel
295,dʷ,,,labialized_voiced_alveolar_stop_consonant
296,rː,,,long_voiced_alveolar_trill_consonant
297,vʲ,,,palatalized_voiced_labio-dental_fricative_consonant
298,ʒʷ,,,labialized_voiced_post-alveolar_sibilant_fricative_consonant
299,ʁʲ,,,palatalized_voiced_uvular_fricative_consonant
300,ɔ̃ː,,,long_nasalized_rounded_open-mid_back_vowel
301,ǂqʰ,,,from_voiceless_palatal_click_to_aspirated_voiceless_uvular_stop_cluster
302,ǀqʰ,,,from_voiceless_dental_click_to_aspirated_voiceless_uvular_stop_cluster
303,ṽ,,,nasalized_voiced_labio-dental_fricative_consonant
304,wː,,,long_voiced_labio-velar_approximant_consonant
305,ʃʲʰ,,,palatalized_aspirated_voiceless_post-alveolar_sibilant_fricative_consonant
306,χʼ,,,voiceless_uvular_ejective_fricative_consonant
307,ǃʰ,,,aspirated_voiceless_alveolar_click_consonant
308,xː,,,long_voiceless_velar_fricative_consonant
309,dzʷ,,,labialized_voiced_alveolar_sibilant_affricate_consonant
310,ɔʊ,,,from_rounded_open-mid_back_to_rounded_near-close_near-back_diphthong
311,ɑiː,,,from_unrounded_open_back_to_long_unrounded_close_front_diphthong
312,ǁqʰ,,,from_voiceless_alveolar_lateral_click_to_aspirated_voiceless_uvular_stop_cluster
313,dʲː,,,palatalized_long_voiced_alveolar_stop_consonant
314,cː,,,long_voiceless_palatal_stop_consonant
315,tʷʰ,,,labialized_aspirated_voiceless_alveolar_stop_consonant
316,sʷʰ,,,labialized_aspirated_voiceless_alveolar_sibilant_fricative_consonant
317,ɓʲ,,,palatalized_voiced_bilabial_implosive_consonant
318,ʊə,,,from_rounded_near-close_near-back_to_unrounded_mid_central_diphthong
319,θː,,,long_voiceless_dental_fricative_consonant
320,ʁʷ,,,labialized_voiced_uvular_fricative_consonant
321,əːe,,,from_long_unrounded_mid_central_to_unrounded_close-mid_front_diphthong
322,tt,,,from_voiceless_alveolar_stop_to_voiceless_alveolar_stop_cluster
323,χʷː,,,labialized_long_voiceless_uvular_fricative_consonant
324,ǂqχʼ,,,from_voiceless_palatal_click_to_voiceless_uvular_ejective_affricate_cluster
325,zʷ,,,labialized_voiced_alveolar_sibilant_fricative_consonant
326,tʲː,,,palatalized_long_voiceless_alveolar_stop_consonant
327,ɸː,,,long_voiceless_bilabial_fricative_consonant
328,ɗʷ,,,labialized_voiced_dental_implosive_consonant
329,ʘq,,,from_voiceless_labial_click_to_voiceless_uvular_stop_cluster
330,ʘʼ,,,voiceless_labial_ejective_click_consonant
331,ɕː,,,long_voiceless_alveolo-palatal_sibilant_fricative_consonant
332,eˤ,,,pharyngealized_unrounded_close-mid_front_vowel
333,ʘ̃,,,nasalized_voiceless_labial_click_consonant
334,ʘχ,,,from_voiceless_labial_click_to_voiceless_uvular_fricative_cluster
335,ɲː,,,long_voiced_palatal_nasal_consonant
