Grapheme	IPA	Frequency
a	a	285410
i	i	160498
n	n	148775
u	u	87723
m	m	86494
k	k	86318
t	t	83442
e	e	82188
l	l	71170
o	o	69008
r	r	55317
E	ɛ	50649
s	s	47836
h	h	44655
?	ʔ	43094
b	b	42087
d	d	41694
j	j	38514
p	p	37440
w	w	35839
@	ə	35651
N	ŋ	29690
g	ɡ	28798
O	ɔ	27631
a:	aː	20732
{	æ	17599
tS	tʃ	15224
S	ʃ	12886
4	ɾ	12841
M	ɯ	12252
1	ɨ	11695
v	v	11428
e:	eː	10019
i:	iː	9971
J	ɲ	9828
I	ɪ	9311
a~	ã	8415
B	β	8061
z	z	7928
E:	ɛː	7782
G	ɣ	7339
c	c	6719
f	f	6483
ts	ts	6431
k_h	kʰ	6426
X	χ	6199
O:	ɔː	6143
t_h	tʰ	5940
o:	oː	5824
R	ʁ	5358
x	x	5274
U	ʊ	5061
dZ	dz	5033
u:	uː	4688
J\	ɟ	4556
ts\	tsʲ	4116
}	ʉ	3750
d_j	dʲ	3714
I:	ɪː	3706
b_<	ɓ	3594
u~	ũ	3530
p\	ɸ	3513
i~	ĩ	3422
A:	ɑː	3422
t:	tː	3407
p_h	pʰ	3132
e_r	e̝	2971
Z	ʒ	2964
q	q	2682
r\_r	ɹ̝	2639
k_w	kʷ	2595
y	y	2435
D	ð	2120
s`	ʂ	2068
k_>	kʼ	2020
E~	ɛ̃	1956
T	θ	1877
t`	ʈ	1781
M\	ɰ	1773
v=	v̩	1724
ts_h	tsʰ	1679
K	ɬ	1670
n`	ɳ	1618
l`	ɭ	1617
h\	ɦ	1593
q_>	qʼ	1573
ei	ei	1481
dz	dz	1446
o_r	o̝	1402
5	ɫ	1377
@~	ə̃	1367
d_<	ɗ	1339
@:	əː	1330
7	ɤ	1292
k:	kː	1275
t_d	t̪	1252
m_w	mʷ	1252
z\	ʑ	1222
o~	õ	1217
l:	lː	1202
kp	kp	1170
Q	ɒ	1129
d`	ɖ	1126
B_o	β̞	1107
r\`	ɻ	1098
s_h	sʰ	1086
@`	ɚ	1052
2	ø	1018
6	ɐ	1015
dz\	dʑ	1012
s\	ɕ	989
aI	aɪ	965
l_j	lʲ	933
ts_>	tsʼ	923
n_0	n̥	906
a_?\	aˤ	873
Nm	ŋm	828
d_d	d̪	800
A	ɑ	797
a:~	ãː	779
ts`_h	tsʰ˞	775
r`	ɽ	774
uo	uo	758
eI	eɪ	758
u:~	ũː	748
g_w	ɡʷ	739
n_j	nʲ	724
k_j_h	kʰʲ	712
ie	ie	703
?\	ʕ	678
}:	ʉː	667
n:	nː	665
9	œ	619
p_>	pʼ	610
C	ç	609
M:	ɯː	607
I~	ɪ̃	606
1:	ɨː	600
ai	ai	595
X\	ħ	588
@U	əʊ	583
t_>	tʼ	577
V	ʌ	537
s_j	sʲ	515
j\	ʝ	504
q_h	qʰ	503
r\	ɹ	501
n_p	ⁿpʲ	485
p_j	pʲ	482
s:	sː	457
i:~	ĩː	454
s\_h	ɕʰ	439
e~	ẽ	437
ts\_h	tsʲʰ	432
tK_>	tɬʼ	431
U:	ʊː	430
k_j	kʲ	410
9~	œ̃	404
|\|\_>	ǁʼ	400
m_j	mʲ	399
t:S	tʃː	390
t_j_h	tʰʲ	388
b_w	bʷ	384
EI	ɛɪ	384
{:	æː	382
|\	ǀ	377
o}	oʉ	362
aU	aʊ	356
z`	ʐ	352
l_0	l̥	351
w_j	wʲ	345
z=	z̩	334
n=	n̩	329
dZ_j	dzʲ	325
t`_h	ʈʰ	322
tS_>	tʃʼ	309
|\|\	ǁ	307
tS_h	tʃʰ	306
t:s	tsː	306
|\|\~	ǁ̃ 	295
!\	ǃ	287
|\~	ǀ̃ 	286
m:	mː	284
ia	ia	284
u_?\	uˤ	271
t_j	tʲ	270
p:	pː	270
J_+	ɲ̟	268
O~	ɔ̃	263
p_w	pʷ	260
=\	ǂ	258
L	ʎ	247
P	ʋ	239
S_h	ʃʰ	236
@e	əe	233
r_j	rʲ	222
m_0	m̥	222
r_0	r̥	212
ua	ua	198
S:	ʃː	186
q:	qː	175
N_w	ŋʷ	173
|\_v		169
e@	eə	165
r\=`	ɹ˞̩	157
1a	ɨa	152
kx_>		147
|\|\_h	ǁʰ	143
j~	j̃	143
g_j	ɡʲ	143
|\_>	ǀʼ	142
w~	w̃	142
>\	ʡ	142
|\~_h	ǀʰ̃ 	131
ts`	ts˞	131
|\|\X	ǁχ	128
|\|\_v		126
X_w	χʷ	125
S_w	ʃʷ	119
H	ɥ	119
q_w	qʷ	115
!\_>	ǃʼ	114
B_j	βʲ	113
?_j	ʔʲ	112
k_w_>	kʼʷ	111
ts\:	tsʲː	107
3:	ɜː	102
ui	ui	99
|\q	ǀq	98
m=	m̩	96
f_h	fʰ	96
b:	bː	96
X:	χː	96
y:	yː	95
b_j	bʲ	95
tS_j	tʃʲ	93
y2	yø	92
=\X	ǂχ	86
I@	ɪə	85
o~_?\	oˤ̃ 	84
q_w_>	qʼʷ	82
!\~	ǃ̃ 	82
l=	l̩	80
{~	æ̃	78
o}:		77
Ai	ɑi	77
O\	ʘ	76
!\X	ǃχ	75
gb	ɡb	72
a~_?\	aˤ̃ 	71
r=	r̩	70
N_0	ŋ̥	68
o_?\	oˤ	67
OI	ɔɪ	66
|\_h	ǀʰ	65
tS_w	tʃʷ	65
f_j	fʲ	63
p_j_h	pʰʲ	62
!\qX_>		61
|\qX_>		59
!\~_h	ǃʰ̃ 	54
oi	oi	53
d:	dː	49
k:_w	kʷː	45
dz`	dʐ	45
N:	ŋː	44
m_p		43
2:	øː	43
o:~	õː	42
=\_>	ǂʼ	42
n_w	nʷ	41
e:~	ẽː	39
=\_h	ǂʰ	39
|\|\q	ǁq	38
A~	ɑ̃	38
=\q	ǂq	38
f_w	fʷ	37
S_>	ʃʼ	37
l_t	l̤	35
z_j	zʲ	32
k_h_w	kʷʰ	32
!\_v		32
!\q_h		31
|\|\qX_>		30
tS_w_>	tʃʼʷ	30
t:S_w		30
!\q	ǃq	28
l_w	lʷ	27
E:~	ɛ̃ː	27
t_w	tʷ	26
=\_v		26
r_w	rʷ	25
d_j_<		25
s_>	sʼ	24
J_0	ɲ̥	24
n_t	n̤	23
r\:_r	ɹ̝ː	22
N=	ŋ̩	22
s_w	sʷ	21
c_h	cʰ	21
}:~	ʉ̃ː	19
ei:		19
j:	jː	18
|\X	ǀχ	16
h~	h̃	16
S_j	ʃʲ	16
@:~	ə̃ː	16
d_w	dʷ	15
r:	rː	14
v_j	vʲ	13
Z_w	ʒʷ	13
R_j	ʁʲ	13
O:~	ɔ̃ː	13
=\q_h		13
|\q_h		11
v=~	ṽ	11
w:	wː	10
t_d_w	tʷ̪	10
=\~_h	ǂʰ̃ 	10
S_j_h	ʃʰʲ	9
cx	cx	8
X_>	χʼ	8
=\~	ǂ̃ 	8
!\_h	ǃʰ	7
x:	xː	6
n_jn		6
dZ_w	dzʷ	6
OU	ɔʊ	6
Ai:		6
|\|\q_h		5
t:`	t˞ː	5
d:_j	dʲː	5
c:	cː	5
t_w_h	tʰʷ	4
s_h_w	sʷʰ	4
b_j_<		4
U@	ʊə	4
T:	θː	4
R_w	ʁʷ	4
@:e		4
tt	tt	3
X:_w	χʷː	3
=\qX_>		3
z_w	zʷ	2
t:_j	tʲː	2
p\:	ɸː	2
d_w_<		2
O\q	ʘq	2
O\_>	ʘʼ	2
s\:	ɕː	1
ks	ks	1
e_?\	eˤ	1
O\~	ʘ̃	1
O\X	ʘχ	1
J:	ɲː	1
<on>a>		1
