"Language","Glottocode","iso-639-3","Family","fam_glottocode","Area","Creator","Latitude","Longitude","Archive","Archive_link","Translation","Annotation license","Audio license","DOI","Gloss","Extended speakers","Extended word tokens","Extended texts","Core speakers","core word tokens","Core texts","Years of recordings in core set"
"Anal","anal1239","anm","Sino-Tibetan","sino1245","Eurasia","Ozerov, Pavel","24.05","94.28","ELAR","http://hdl.handle.net/2196/00-0000-0000-000F-CB55-6","English","CC BY","CC BY-NC","10.34847/nkl.0dbazp8m","none","12","13015","23","12","13015","23","2015-2016"
"Yali (Apahapsili)","apah1238","na","Nuclear Trans New Guinea","nucl1709","Papunesia","Riesberg, Sonja","-4.08","139.46","TLA","https://hdl.handle.net/1839/00-0000-0000-0017-EA2F-C","Indonesian/English","CC BY-NC-SA","CC BY-NC-SA","10.34847/nkl.9d91nkq2","all","14","10191","11","10","7474","8","2013-2017"
"Arapaho","arap1274","arp","Algic","algi1248","North America","Cowell, Andrew","43.39","-108.81","ELAR","http://hdl.handle.net/2196/00-0000-0000-0002-E4CC-C","English","CC BY","CC BY","10.34847/nkl.36f5r1b6","all","8","10407","21","4","4746","11","2005"
"Baïnounk Gubëeher","bain1259","bab","Atlantic-Congo","atla1278","Africa","Cobbinah, Alexander Yao","12.31","-16.06","ELAR","http://hdl.handle.net/2196/00-0000-0000-000E-38AC-3","English/French","CC BY","CC BY","10.34847/nkl.a332abw8","some","10","12425","18","9","11477","17","2009-2014"
"Beja","beja1238","bej","Afro-Asiatic","afro1255","Africa","Vanhove, Martine","17.24","36.67","CorpoAfroas","http://dx.doi.org/10.1075/scl.68.website","English","CC BY-NC","CC BY-NC","10.34847/nkl.edd011t1","all","5","15439","58","5","15439","58","2003-2011"
"Bora","bora1263","boa","Boran","bora1262","South America","Seifart, Frank","-2","-72.26","TLA","https://hdl.handle.net/1839/00-0000-0000-0008-38E5-2","Spanish","CC BY","CC BY","10.34847/nkl.6eaf5laq","all","39","29578","38","6","8431","9","2004-2008"
"Cabécar","cabe1245","cjp","Chibchan","chib1249","North America","Quesada, Juan Diego and Skopeteas, Stavros and Pasamonik, Carolina and Brokmann, Carolin and Fischer, Florian","9.67","-83.41","TLA","https://hdl.handle.net/1839/00-0000-0000-0021-E375-1","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.ebc4ra22","all","15","17961","115","10","10614","39","2011"
"Cashinahua","cash1254","cbs","Pano-Tacanan","pano1259","South America","Reiter, Sabine","-9.72","-71.17","TLA","https://hdl.handle.net/1839/00-0000-0000-0008-4070-6","Portuguese/English","CC BY","CC BY","10.34847/nkl.a8f9q2f1","some","3","10043","3","3","10043","3","2006"
"Dolgan","dolg1241","dlg","Turkic","turk1311","Eurasia","Däbritz, Chris Lasse and Kudryakova, Nina and Stapert, Eugénie and Arkhipov, Alexandre","71.11","94.29","HZSK","http://hdl.handle.net/11022/0000-0007-CAE7-1","English/German/Russian","CC BY","CC BY-NC","10.34847/nkl.f09eikq3","all","20","18966","25","6","8778","9","1972-2010"
"Evenki","even1259","evn","Tungusic","tung1282","Eurasia","Kazakevich, Olga and Klyachko, Elena","61.97","94.69","Siberian Lang","http://minlang.srcc.msu.ru/ru/glavnaya","Russian","CC BY","CC BY","10.34847/nkl.5e0d27cu","all","23","8315","36","23","8315","36","2006-2016"
"Goemai","goem1240","ank","Afro-Asiatic","afro1255","Africa","Hellwig, Birgit","8.74","9.72","TLA","https://hdl.handle.net/1839/00-0000-0000-0000-6B5E-B","English","CC BY","audio linked","10.34847/nkl.b93664ml","all","6","25304","27","5","9340","11","1999-2000"
"Gorwaa","goro1270","gow","Afro-Asiatic","afro1255","Africa","Harvey, Andrew","-4.24","35.8","ELAR","http://hdl.handle.net/2196/00-0000-0000-000F-79D0-1","Swahili/English","CC BY","CC BY","10.34847/nkl.a4b4ijj2","all","11","19688","14","8","10674","9","2013-2016"
"Hoocąk","hoch1243","win","Siouan","siou1252","North America","Hartmann, Iren","43.50","-88.50","TLA","https://hdl.handle.net/1839/bf362b19-2cd6-4bee-af44-a46446077875","English","CC BY-NC-ND","audio linked","10.34847/nkl.b57f5065","all","11","7338","21","11","7338","21","2003-2012"
"Jahai","jeha1242","jhi","Austroasiatic","aust1307","Eurasia","Burenhult, Niclas","5.64","101.54","TLA","https://hdl.handle.net/1839/00-0000-0000-0008-71E6-5","English","CC BY-NC-SA","CC BY-NC-ND","10.34847/nkl.6a71xp0p","some","3","7330","9","3","7330","9","2000-2012"
"Jejuan","jeju1234","jje","Koreanic","kore1284","Eurasia","Kim, Soung-U","33.38","126.56","ELAR","http://hdl.handle.net/2196/00-0000-0000-000E-D15C-1","Korean/English","CC BY","CC BY","10.34847/nkl.06ebrk38","all","5","7272","8","5","7272","8","2015"
"Kakabe","kaka1265","kke","Mande","mand1469","Africa","Vydrina, Alexandra","10.6","-11.44","ELAR","http://hdl.handle.net/2196/00-0000-0000-0000-A924-0","English","CC BY","CC BY","10.34847/nkl.d5aeu9t6","all","18","46656","23","4","9525","9","2013-2015"
"Kamas","kama1351","xas","Uralic","ural1272","Eurasia","Gusev, Valentin and Klooster, Tiina and Wagner-Nagy, Beáta and Arkhipov, Alexandre","55.07","94.83","INEL","http://hdl.handle.net/11022/0000-0007-CAE6-2","Russian/English","CC BY","CC BY","10.34847/nkl.cdd8177b","all","2","40298","131","1","10052","26","1964-1970"
"Tabaq (Karko)","kark1256","kko","Nubian","nubi1251","Africa","Hellwig, Birgit and Schneider-Blum, Gertrud and Ismail, Khaleel Bakheet Khaleel","12.05","29.21","ELAR","http://hdl.handle.net/2196/00-0000-0000-0002-2EAA-F","English","CC BY","audio linked","10.34847/nkl.eea8144j","none","5","9265","16","5","9265","16","2011-2013"
"Komnzo","komn1238","tci","Yam","more1255","Papunesia","Döhler, Christian","-8.65","141.52","Zenodo","https://doi.org/10.5281/zenodo.4695271","English","CC BY","CC BY","10.34847/nkl.c5e6dudv","all","26","33909","49","11","9892","19","2010-2015"
"Light Warlpiri","ligh1234","na","Mixed Language","mixe1287","Australia","O'Shannessy, Carmel","-18.32","130.63","TLA","https://hdl.handle.net/1839/bbfb5fb0-e24b-47a3-9690-3f2d5a61ad42","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.7452803q","none","6","8672","8","6","8672","8","2005-2015"
"Lower Sorbian","lowe1385","dsb","Indo-European","indo1319","Eurasia","Bartels, Hauke and Szczepański, Marcin","51.66","13.94","TLA","https://hdl.handle.net/1839/b7cb7b41-8362-4488-b8cb-86fbfea6c7c7","German","CC BY-NC-SA","audio linked","10.34847/nkl.6c6e4e9k","none","4","10246","15","4","10246","15","2011-2013"
"Movima","movi1243","mzp","Isolate","na","South America","Haude, Katharina","-13.81","-65.63","TLA","https://hdl.handle.net/1839/963ce6c7-f17c-466b-9f3e-aec007ea0659","Spanish/English","CC BY","audio linked","10.34847/nkl.da42xf67","all","5","10183","12","5","10183","12","2002-2014"
"Dalabon","ngal1292","ngk","Gunwinyguan","gunw1250","Australia","Ponsonnet, Maïa","-13.98","133.94","TLA","https://hdl.handle.net/1839/00-0000-0000-0010-0125-4","English","CC BY","CC BY","10.34847/nkl.fae299ug","some","4","3412","10","4","3412","10","2010-2012"
"Nisvai","nisv1234","none","Austronesian","aust1307","Papunesia","Aznar, Jocelyn","-16.41","167.79","Ortolang","https://hdl.handle.net/11403/sldr000783/v2","French","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.2801565f","all","8","11872","12","8","11872","12","2011-2015"
"Nǁng","nngg1234","ngh","Tuu","tuu1241","Africa","Güldemann, Tom and Ernszt, Martina and Siegmund, Sven and Witzlack-Makarevich, Alena","-29.71","19.08","na","na","English/Afrikaans","CC BY","CC BY","10.34847/nkl.f6c37fi0","all","7","28005","33","6","10283","17","2004-2009"
"Northern Kurdish (Kurmanji)","nort2641","kmr","Indo-European","indo1319","Eurasia","Haig, Geoff and Vollmer, Maria and Thiele, Hanna","37","43","Multi-CAST","https://multicast.aspra.uni-bamberg.de/#nkurd","English","CC BY","CC BY","10.34847/nkl.ca10ez5t","all","2","9658","5","2","9658","5","2000-2004"
"Northern Alta","nort2875","aqn","Austronesian","aust1307","Papunesia","Garcia-Laguia, Alexandro","15.69","121.45","ELAR","http://hdl.handle.net/2196/00-0000-0000-000F-BF5C-0","Tagalog/English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.efea0b36","all","2","8544","4","2","8544","4","2016"
"Fanbyak","orko1234","fnb","Austronesian","aust1307","Papunesia","Franjieh, Michael","-16.21","168.21","ELAR","http://hdl.handle.net/2196/00-0000-0000-0011-70E5-9","English","CC BY","CC BY","10.34847/nkl.02084446","some","14","19131","39","10","10170","26","2015-2017"
"Pnar","pnar1238","pbv","Austroasiatic","aust1305","Eurasia","Ring, Hiram","24.82","92.26","NTU","https://doi.org/10.21979/N9/KVFGBZ","English","CC BY-NC","CC BY-NC","10.34847/nkl.5ba1062k","all","19","20454","21","6","8520","8","2011-2012"
"Daakie","port1286","ptv","Austronesian","aust1307","Papunesia","Krifka, Manfred","-16.31","168.05","na","na","Bislama/English","CC BY","CC BY","10.34847/nkl.efeav5l9","some","10","12038","16","10","12038","16","2010-2018"
"Resígaro","resi1247","rgr","Arawakan","araw1281","South America","Seifart, Frank","-2.48","-71.36","TLA","https://hdl.handle.net/1839/00-0000-0000-0008-38F4-0","Spanish","CC BY","CC BY","10.34847/nkl.ffb96lo8","none","3","7985","20","3","7985","20","2004-2009"
"Ruuli","ruul1235","ruc","Atlantic-Congo","atla1278","Africa","Witzlack-Makarevich, Alena and Namyalo, Saudah and Kiriggwajjo, Anatol and Molochieva, Zarina","1.42","32.42","na","na","English","CC BY","CC BY","10.34847/nkl.fde4pp1u","all","7","8718","5","7","8718","5","2012-2019"
"Sadu","sadu1234","na","Sino-Tibetan","sino1245","Eurasia","Xu, Xianming and Bai, Bibo","24.3","102","ELAR","http://hdl.handle.net/2196/00-0000-0000-000E-2C86-5","Chinese/English","CC BY","CC BY","10.34847/nkl.3db4u59d","none","6","12019","13","6","12019","13","2010-2013"
"Sanzhi Dargwa","sanz1248","na","Nakh-Daghestanian","nakh1245","Eurasia","Forker, Diana and Schiborr, Nils Norman","41.98","47.57","TLA","https://hdl.handle.net/1839/00-0000-0000-001A-0228-A","Russian/English","CC BY","CC BY","10.34847/nkl.81934177","some","5","5146","9","5","5146","9","2011-2013"
"Savosavo","savo1255","svs","Isolate","na","Papunesia","Wegener, Claudia","-9.13","159.81","TLA","https://hdl.handle.net/1839/00-0000-0000-000D-B694-5","English","CC BY","CC BY","10.34847/nkl.b74d1b33","all","7","12075","7","7","12075","7","2003-2008"
"Nafsan (South Efate)","sout2856","erk","Austronesian","aust1307","Papunesia","Thieberger, Nick","-17.7","168.38","Paradisec","https://dx.doi.org/10.4225/72/56E97595B6D0A","English","CC BY","CC BY-NC-SA","10.34847/nkl.ba4f760l","all","19","29414","63","12","10243","30","1997-2000"
"English (Southern England)","sout3282","na","Indo-European","indo1319","Eurasia","Schiborr, Nils Norman","53","-1","Multi-CAST","https://multicast.aspra.uni-bamberg.de/#english","English","CC BY","CC BY","10.34847/nkl.9c271u5g","all","4","35441","8","2","8998","2","1975-1985"
"French (Swiss)","stan1290","fra","Indo-European","indo1319","Eurasia","Avanzi, Mathieu and Béguelin, Marie-José and Corminboeuf, Gilles and Diémoz, Federica and Johnsen, Laure Anne","48","2","na","na","French","CC BY-NC-SA","CC BY-NC-SA","10.34847/nkl.3520l685","all","8","13339","8","8","13339","8","2014-2015"
"Sümi","sumi1235","nsm","Sino-Tibetan","sino1245","Eurasia","Teo, Amos","26","94.42","Paradisec","https://dx.doi.org/10.26278/5df25604792f4","English","CC BY","CC BY","10.34847/nkl.5ad4t01p","all","26","12838","35","23","9981","28","2010"
"Svan","svan1243","sva","Kartvelian","kart1248","Eurasia","Gippert, Jost","42.91","42.59","TLA","https://hdl.handle.net/1839/00-0000-0000-0008-261B-D","Georgian/English","CC BY","CC BY","10.34847/nkl.9ba054c3","none","9","9895","28","9","9895","28","2012"
"Tabasaran","taba1259","tab","Nakh-Daghestanian","nakh1245","Eurasia","Bogomolova, Natalia and Ganenkov, Dmitry and Schiborr, Nils Norman","42.02","47.84","Multi-CAST","https://multicast.aspra.uni-bamberg.de/#tabasaran","English","CC BY","CC BY","10.34847/nkl.ad7f97xr","all","2","5059","5","2","5059","5","2010"
"Teop","teop1238","tio","Austronesian","aust1307","Papunesia","Mosel, Ulrike","-5.67","154.97","TLA","https://hdl.handle.net/1839/cb80e4b8-978d-44c1-bfa3-d47bf702f8d0","English","CC BY","CC BY","10.34847/nkl.9322sdf2","all","11","12148","11","11","12148","11","2003-2004"
"Texistepec Popoluca","texi1237","poq","Mixe-Zoque","mixe1284","North America","Wichmann, Søren","17.89","-94.81","na","na","Spanish","CC BY","CC BY","10.34847/nkl.c50ck58f","all","1","8473","4","1","8473","4","1993"
"Mojeño Trinitario","trin1278","trn","Arawakan","araw1281","South America","Rose, Françoise","-15.33","-65.41","na","na","Spanish/English","CC BY","CC BY","10.34847/nkl.cbc3b4xr","some","21","18336","32","6","7792","10","2005-2018"
"Asimjeeg Datooga","tsim1256","na","Nilotic","nilo1247","Africa","Griscom, Richard","-3.42","35.43","ELAR","http://hdl.handle.net/2196/00-0000-0000-000E-D158-9","Swahili/English","CC BY","CC BY","10.34847/nkl.f77c7m72","none","12","8784","40","12","8784","40","2015-2017"
"Urum","urum1249","uum","Turkic","turk1311","Eurasia","Skopeteas, Stavros and Moisidi, Violeta and Tsetereli, Nutsa and Lorenz, Johanna and Schröter, Stefanie","42.04","43.99","TLA","https://hdl.handle.net/1839/00-0000-0000-0021-4DA5-8","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.ac166n10","all","32","18802","246","30","10035","132","2015"
"Vera'a","vera1241","vra","Austronesian","aust1307","Papunesia","Schnell, Stefan","-13.89","167.43","TLA","https://hdl.handle.net/1839/00-0000-0000-000A-2494-8","English","CC BY","CC BY","10.34847/nkl.3e2cu8c4","all","10","17794","11","7","12380","8","2007"
"Warlpiri","warl1254","wbp","Pama-Nyungan","pama1250","Australia","O'Shannessy, Carmel","-20.10","131.05","TLA","https://hdl.handle.net/1839/bbfb5fb0-e24b-47a3-9690-3f2d5a61ad42","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.042dv614","none","18","7171","22","18","7171","22","2004-2010"
"Yongning Na","yong1270","nru","Sino-Tibetan","sino1245","Eurasia","Michaud, Alexis","27.8","100.9","Pangloss","https://pangloss.cnrs.fr/corpus/Yongning_Na?lang=en","French","CC BY-NC-SA","CC BY-NC-SA","10.34847/nkl.abe65p95","none","1","8877","6","1","8877","6","2006-2012"
"Yucatec Maya","yuca1254","yua","Mayan","maya1287","North America","Skopeteas, Stavros","18.78","-88.96","TLA","https://hdl.handle.net/1839/00-0000-0000-0021-E91B-F","Spanish","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.9cbb3619","none","6","10857","10","6","10857","10","2015"
"Yurakaré","yura1255","yuz","Isolate","na","South America","Gipper, Sonja and Ballivián Torrico, Jeremías","-16.75","-65.12","LAC","https://lac.uni-koeln.de/collection/11341/00-0000-0000-0000-1BDA-F","Spanish","CC BY-NC-ND","audio linked","10.34847/nkl.7ca412wg","none","16","20206","20","16","20206","20","2013"
